2014-04-27 18:39:21,994 [Worker-136] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:39:21,994 [Worker-136] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:39:32,075 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:39:32,190 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:39:32,193 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:39:32,231 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:39:46,995 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:39:47,026 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:39:47,028 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:39:47,034 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:40:01,801 [Worker-137] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:40:01,818 [Worker-137] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:40:01,820 [Worker-137] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-27 18:40:01,826 [Worker-137] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-27 18:41:23,117 [Worker-138] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.example.android.google.server:GCMTestServer:0.0.1-SNAPSHOT @ /Users/toantran/Documents/Java_development/workspace/MeeterApp_workspace/GCMTestServer/pom.xml.
2014-04-27 18:41:23,171 [Worker-138] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-04-27 18:41:24,790 [New I/O client worker #8-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/ganyo/gcm-server/1.0.2/gcm-server-1.0.2.pom
2014-04-27 18:41:24,791 [New I/O client worker #8-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/ganyo/gcm-server/1.0.2/gcm-server-1.0.2.pom
2014-04-27 18:41:24,909 [Worker-138] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-04-27 18:41:25,027 [New I/O client worker #9-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1/json-simple-1.1.pom
2014-04-27 18:41:25,028 [New I/O client worker #9-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1/json-simple-1.1.pom
2014-04-27 18:41:25,071 [Worker-138] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-04-27 18:41:25,150 [New I/O client worker #10-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/ganyo/gcm-server/1.0.2/gcm-server-1.0.2.jar
2014-04-27 18:41:25,161 [New I/O client worker #10-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1/json-simple-1.1.jar
